NID,Topic,Topic Created,Topic Body
24238,"""Real"" Programming",12/7/13 23:13,"I've encountered this misconception frequently. There tends to be a forgetting that these words that I'm typing in this response are themselves abstract pictorial symbols strung in a learned and agreed upon ordering. I've begun to ask if there is a cognitive benefit, or a cognitive difference, in the construction and recognition of these typographic patterns, that renders them superior to other kinds of visual patternings. There is a sense of cultural interia, tied to a received definition of authenticity, of what behaviors or signals mark ""real"" programming. It's taken persistent conversations, and a recognition of when someone is ready to hear this ""novel"" definition."
24238,"""Real"" Programming",12/7/13 23:15,"It is a legitimate concern that visual languages may not contain all of the functionality of something like C++, but for everyday programming tasks Scratch is more than capable and I know that in the UK they use it right up to A-level to teach key concepts. Such concerns remind me of the days when people used the Command line and WIndows was not a real operating system.  I wonder how many of these people are exclusively using the Linux Shell now? There are advantages in terms of resource use, but the rest of us have moved on."
24238,"""Real"" Programming",12/8/13 15:40,"A blog post submitted/reblogged by ""fyprocessing,"" a Tumblr site devoted to the work of artists experimenting with Processing, offers an interesting point of view with regard to the different expressive potentials offered by different programming environments. It suggests that different imaginaries, or different imaginations, may be sparked or accessed by interaction with different tool kits. The argument echoes Clifford Geertz and Marshall MacLuhan's observation that humans shape and are then subsequently shaped by our tools. The link for the original is: http://fyprocessing.tumblr.com/post/69317286302/hamoid-my-first-animgif-programmed-in-nodebox and I quote it here in its entirety: My first animgif programmed in Nodebox. I still prefer code, but I see the advantages of Nodebox: Pause, play and rewind your animation. Go to the previous and next frames. Tweak values and modify your program *while it runs*. No need to stop and restart your program. This is great for experimentation. Export a range of frames. Export an mp4 movie or a vector PDF file. You can write your own modules in Python and Clojure. What I don’t like: No animgif nor gif export. Each time I export I must set the range and file format. Frame rate not so high. No access to the great collection of Processing libraries (midi, webcam, graphic tablet, OSC, etc). It’s great for people learning to code, and for those who don’t like typing code. It may also be great for sketching concepts, tweaking values and experimenting, to later port the idea to an environment that performs faster. Our creations are influenced by the tools we use. I suspect the kinds of creations we produce by typing code (Processing, Open Frameworks, SuperCollider) and by connecting nodes with wires (Nodebox, PD) can differ, the same way the kinds of results we get when using different programming languages can also be different. For instance, some languages  make it easier to write recursive programs. Other languages make it easy to work with big data sets, or with strings. I wonder… what is Nodebox best at?"
24238,"""Real"" Programming",12/9/13 11:51,"I've been teaching Scratch for a number of years, and a coworker and I would often have this back and forth. I'd say I wasn't a programmer, he'd argue that I could use Scratch, so I could program. Now I am student in Karen Brennan's class, and am thinking about this question in my final paper. I try and draw parallels to other things I know how to do, using iMovie is editing video but is not as powerful as using Final Cut Studio, but I'd still say they are both video editing. So, why, in my head is Scratch not programming or programming in the same sense but just lacks some of the capabilities of other languages. I think for me it has something to do with identifying as a ""programmer,"" but I am still trying to break that down. @Rafael, I am compelled by the idea of different environments supporting or leading to different potentials, that begins to take away some of the heirarchy between text and visual based programming. I wonder how many people on this thread do know how to program in a text based language. I think its probably valuable to foster the identity of a ""programmer"" in youth in Scratch classes I am facilitating, but its still struggle with calling myself a programmer."
24238,"""Real"" Programming",12/9/13 17:51,"@Peter, I'm glad that this idea is compelling for you. :) In the visual arts, part of the training/learning/discovery is what expressive potentials and opportunities exist with which ""media"" and ""substrates"". Pencils, brushes and crayons offer different things. It's easy for me to forget this, or to treat it as transparently self-evident. Sometimes, when I'm feeling mischievous, I think about the range of expression possible with a hammer and a piano. Both could be seen as percussive uses of a lever. ;)"
24238,"""Real"" Programming",2/13/14 15:52,"I believe that Scratch programming is directly linked to Javascript. It has all the same features, and a lot more. If the person that emailed you doesn't know Javascript, but wants to know, show them this website: www.Codecademy.com I am actually working on a Scratch-javascript converter right now. They are that similar. Hope this helped you Karen!"
11470,"""When Sprite2 clicked"" Hat block change",1/9/12 18:04,"I wish that, instead of using the Sprite's name, this block would just have the label ""when this sprite clicked"" That really seems to be what it means."
11470,"""When Sprite2 clicked"" Hat block change",1/9/12 18:25,"Actually, ""when I'm clicked"" would be even better, just like ""when I receive"""
12997,(06/12 - 08/12) Summer Competition: Of Mice and Monsters!,6/7/12 11:57,"This summer, CS2N is hosting online competitions. From animation to game design, we are offering several outlets for students, educators, and hobbyists to hone their creative abilities and computer science skills. We also provide tutorials/training materials to support the software participants will use. With the ""Of Mice and Monsters!"" animation competition, partipants are asked to bring life to an adorable little bunny or pony by animating it to hop around a field. Or if cute isn't their thing, they may animate a mummy or dinosaur as it roars angrily in the desert. They can create a character from scratch or use one already created. Learn more here!"
11227,(Soft) Launch of ScratchEd,12/7/11 17:34,"Hi everyone, I'm really happy to let you know that ScratchEd is (mostly) up and running again. Of course, I'm expecting bugs to pop up here and there -- if you notice anything, please don't hesitate to let me know. Bug reports are always welcome! Some aspects of the redesign that I'm particularly excited about: The redesign of the Resources section. In addition to refining the design of the search interface (now including searching by language!), we have three different pathways: new to Scratch, familiar with Scratch, and experienced with Scratch. If you have comments or suggestions for the pathways pages, I'd love to hear them. The addition of the Events section. Our events were formerly listed on a separate site, which made it hard to keep track of them. I'm hoping this integration will help people feel more connected to the face-to-face and real-time components of the ScratchEd community. The redesign of the Members section. You can now find people with similar interests (by age/grade level, curricular area, language) in addition to geographic proximity. To specify your interests, go to your profile (""My Profile"") at the top-right of the screen, then ""Edit"", then ""Member"". We'll be sending more information about the changes (in a video tutorial format) later this week. Thank you! Karen"
11227,(Soft) Launch of ScratchEd,12/20/11 15:01,Learn more about the new features of the Scratch website in this video tutorial.
26687,[Invitation] Model Train Remote Control,4/14/14 19:39,"Hi, I'd like to invite you to control a Model Train over the internet with Scratch (version 1.4). You can control the Model Train with Scratch's Join Mesh feature and results are observed on a web cam. When nobody else controls the Model at that moment, you can obtain 20-minutes exclusive timeslot (locked to your public IP) and compose your projects or load & run some predefined ones. Further details: www.flyfish-tech.com/scratch/ This Model Train has been implemented as a proof of concept and will be available to you for few months. Best wishes, Ivan Zilic FLYFISH TECHNOLOGIES d.o.o."
29523,14 of 15 Assets Loaded ???,10/4/14 15:28,I am in the middle of a unit with my 7th and 8th grade students using scratch to teach control structure.  This week about 8 of my 60 students are not able to load their projects.  They log in and try to open any project and get stuck with one or two assets short of loading.  A few have been able to wait it out after 10 to 15 min. but the rest never load.  We have been using scratch off and on for the last 5 weeks with no issue so I am at a loss as to why this is happening. A few things I have tried are... Deleting the browser cache Logging in from other computers Using IE and Chrome We are using windows 7 with IE or Chrome Any help would be greatly appriciated!
29523,14 of 15 Assets Loaded ???,10/9/14 17:25,"Hi David, The MIT Scratch Team has been making updates to the Scratch website in the last few weeks, which might explain the glitches you were experiencing. If it continues, I would recommend contacting them at help@scratch.mit.edu to let them know about the issue. Sincerely, Michelle, on behalf of the ScratchEd Team"
33727,"2 Week Scratch Teaching Positions in West Roxbury, MA",4/17/15 13:38,"i2 Camp is seeking both a Lead Teacher and Assistant Teacher for two week-long Scratch Game Design courses being held at Roxbury Latin.  The courses run from July 6 to July 10 and from July 13 to July 17. Course Description In this course, you will use Scratch to create an original video game with custom graphics, sound effects and music. You will begin by remixing an existing game, gradually gaining design skills and confidence. When you are ready to develop a whole new game, you will learn how to focus your ideas, integrate player feedback and refine your 2D game before sharing it with the world. No prior computer programming experience is required. Working for i2 Camp i2 Camp is a hands-on, project-based STEM summer day camp designed to broaden middle school students’ exposure to innovative science, technology, engineering and math. The co-ed camp has developed its program by partnering with some of the world’s leading scientific and academic institutions, including MIT, The Museum of Science in Boston, Stanford University, MathWorks, the New York Academy of Sciences and Teachers College, Columbia University. Teachers will be trained by i2 Camp’s curriculum partners to understand the curriculum and the activities planned for each course. Courses will be focused on hands-on learning and will therefore be limited to a maximum of 20 children, with up to three instructors in each course, including a lead teacher, an associate teacher and a high school student acting as a “near peer.” Lead teachers will be responsible for overseeing this team of instructors. Lead Teachers– Must have previous K-12 school teaching experience and an interest in project-based learning. Associate Teachers– Must have or be working toward a degree in a STEM field or in K-12 STEM education. Previous classroom experience is a plus. The camp will run in each location Monday – Friday, and teachers must be at the camp from 8:30am – 4:30pm every day. Children of teachers who enroll in the camp will be given a discount to attend the camp. Lunch will be served each day. Salary varies by location and will be discussed during the interview process. You can find out more and apply online here: http://i2camp.org/work-with-i2/teachers/"
54194,2-hour Online Scratch coding lesson for K12 Teachers,1/17/18 16:01,"We have been helping teachers to teach Scratch in the classrooms for the last two years. We started a new 2-hour online instructor led lesson on every Saturday starting in 2018. So far, we have received very positive feedback from the teachers. If you are looking to sharpen your coding skill in Scratch, this lesson should help you - https://www.itchcode.com/bootcamp/ Thanks, ?-Steven"
26604,2.0 Offline Editor Issues,4/10/14 10:13,"My students currently use the 2.0 offline editor in our iMac lab. 2 of my 22 machines keep crashing when the software is launched. Any help/suggestions? Adobe Air is up to date on the machines. The students are in the middle of working a big video game project and I really need the help ASAP! Please email me at coboa@nbps.org . Thanks, Alexis Cobo"
26604,2.0 Offline Editor Issues,4/11/14 11:55,We are having exactly the same problem. We have one computer where we said cancel and did not do the update and it works fine. Any place where we did the update or recently downloaded the Scratch 2.0 offline editor we are frozen and unable to work too.
26604,2.0 Offline Editor Issues,4/11/14 12:55,That is my EXACT problem!
26604,2.0 Offline Editor Issues,4/11/14 13:13,"Thanks for posting about the problem. I've sent a note to the MIT Scratch Team and you can contact them directly at help@scratch.mit.edu if you have any further issues with Scratch or the offline editor. Sincerely, Michelle, on behalf of the ScratchEd Team"
26604,2.0 Offline Editor Issues,4/11/14 16:03,"I've heard back from the MIT Scratch Team: A few days ago we received a number of messages about the Scratch offline editor not working properly. We immediately began troubleshooting the issue and discovered it was caused by an automatic update from Adobe. Adobe introduced a new version of Adobe Air (13) which caused the Scratch offline editor to crash immediately upon startup. The only solution is to download and reinstall the Scratch offline editor from the Scratch download page. When you open it, it may prompt you to update Adobe Air. If so, click Update. Hope that helps. M"
26604,2.0 Offline Editor Issues,4/14/14 11:21,Tried what was recommended and it still is not working. Need help ASAP
26604,2.0 Offline Editor Issues,4/14/14 16:38,"Hi Alexis, Sorry to hear that you're still having trouble with the offline editor. I recommend contacting the MIT Scratch Team directly at help@scratch.mit.edu. M"
26604,2.0 Offline Editor Issues,9/26/14 12:31,It seems this issue has popped up again with the lastest update of the Scratch 2.0 Offline and Adobe Air. Those that have update and now try to launch scratch end up receiving a box that contains a white screen in it and nothing loads. I have tried converting back to the earlier version with no luck. I have also removed the profiles from the win7 machines that this is happening on. It seems the problem might again arise from the Adobe Air update.
12975,2012 Scratch Educator Census,6/5/12 14:17,"Do you have 5 minutes? Be counted -- and participate in the 2012 Scratch Educator Census. Members of the MIT Scratch Team are trying to better understand where and how Scratch is being used. Whether you've never used Scratch or have a lot of Scratch experience, we hope that you'll take a few minutes to answer some (no more than 20) short demographic questions. In appreciation of your time, we're hosting a raffle. We've got 10 Scratch starter kits, 5 Scratch boards, and 1 Scratch@MIT conference registration to raffle. If you'd like to be entered into the raffle, just respond by Friday, June 22 and submit your email address at the end of the survey. We will be announcing the winners of the raffle at the end of June. If you have any questions, please don't hesitate to contact me at kbrennan AT media.mit.edu"
12975,2012 Scratch Educator Census,6/25/12 19:00,"Thank you to everyone who contributed to the Scratch Educator Census! Over 500 educators participated in the survey! To show our appreciation for your time and help, we held a raffle for 10 Scratch Starter Kits, 5 Scratch Boards, and 1 Scratch@MIT Conference registration. Congrats to all! Scratch Starter Kits Winners: Anne C. Alfia W.? Catherine D. Douglas H. Fran L. Gilberto S. Heidi i?jfoster plessing? vhaines ??Scratch Boards Winners: ?Susan B. David M. Marianne F. mhankins? nidheagh ??Scratch@MIT Conference Registration Winner: Keledy K."
14226,2013 NCWIT Award for Aspirations in Computing for high school girls,9/25/12 15:53,"2013 NCWIT Award for Aspirations in Computing It's time to start those applications: competition is officially open for the NCWIT Award for Aspirations in Computing. The Award honors young women who are active and interested in computing and technology, and encourages them to pursue their passions. Award recipients receive cool prizes and gadgets, as well as access to scholarships, internships, and a community of young, like-minded technical women. All girls at all levels are encouraged to apply: we recognize aspirations as well as accomplishments! Eligibility The 2013 NCWIT Award for Aspirations in Computing is open to any U.S. high-school-level female (grades 9-12). Applications are being accepted now through 11:59 PM on October 31, 2012. Prizes National award-winners receive: $500 in cash A laptop computer An engraved award (for both the student and her school) An expenses-paid trip to the national Award ceremony (for the student and her parent/guardian) on March 9, 2013 Affiliate Award prizes vary by location. Visit www.aspirationsaward.org for details. For more information please contact Malia Fredrickson: malia.fredrickson@ncwit.org."
16565,2013 U.S. National STEM Game Challenge,2/25/13 14:33,"The National STEM Video Game Challenge is a multi-year competition that aims to motivate interest in STEM learning among America’s youth by tapping into students’ natural passion for playing and making video games. Inspired by the Educate to Innovate Campaign, President Obama’s initiative to promote a renewed focus on Science, Technology, Engineering, and Math (STEM) education, the National STEM Video Game Challenge is a multi-year competition whose goal is to motivate interest in STEM learning among America’s youth by tapping into students’ natural passion for playing and making video games. Middle and high school youth are encouraged to submit their original game designs for the opportunity to earn recognition and prizes for themselves, as well as monetary prizes for their schools. Entries can be created in a variety of platforms, including Scratch! Check out this Scratch entry that won last year's challenge. Registration is now available and game submissions are due April 24. Find out more at http://stemchallenge.org."
36889,2016 Conference,9/22/15 11:47,"Hi, Does anyone know if and when the summer conference will take place? Joe Jones"
36889,2016 Conference,9/22/15 21:10,"I am eager to hear as well.  I have toplan my summer vacation schedule in October, so I hope we hear dates and location soon!"
36889,2016 Conference,9/23/15 16:45,"The dates have been posted but registration is not yet open: August 3-6, 2016 https://scratch.mit.edu/conference/"
43126,2016 Critical Explorers Summer Workshop,6/14/16 9:33,"From the Critical Explorers website: 2016 CRITICAL EXPLORERS SUMMER WORKSHOP We are now accepting applications for the Critical Explorers Summer Workshop. If you are interested in attending, we encourage you to apply today. Immerse yourself in exploratory teaching and learning at the 3-day teacher workshop — August 15-17, 2016. Scroll down to read comments from workshop participants Bringing students into direct contact with complex, interesting materials, and offering teachers unique strategies for revealing and encouraging students’ ideas and helping them discover and pursue puzzles and questions, critical exploration is a distinctive teaching method that powerfully supports student inquiry, expanding students’ awareness of their own intellectual capacities while deepening teachers’ understanding of their students’ potential. This workshop for upper elementary, middle school, and high school teachers will help prepare you to harness the power of critical exploration in your classroom.  You will experience and discuss exploratory activities and curriculum, observe and reflect on teaching strategies, and strengthen your understanding and practice of critical exploration, whatever your previous experience. Highlights include: Sessions each day with Eleanor Duckworth, Professor Emerita, Harvard Graduate School of Education Experiencing and discussing curriculum developed by Critical Explorers in collaboration with teachers in public school classrooms this year Special discussion groups formed in response to your interests, with topics such as writing, assessment, and thematic and interdisciplinary curriculum Sharing practical ideas for expanding and sustaining student inquiry in your classroom The Critical Explorers Summer Workshop will take place Monday to Wednesday, August 15-17, in Cambridge, MA. More details will be sent to those who apply.  We look forward to receiving your application. Cost:  $425 Questions?  Please email us at workshop@criticalexplorers.org. “It was great to have a lesson presented that I will use all year. … I so appreciate this opportunity. I plan to be back. I plan to read your books, check in on your website, review a Piaget primer… Thank you.” Kathryn Koontz, Stevenson School, Carmel, CA “I think that we’re really building life-long learners – people who can think and speak and ask questions and be okay with not knowing the right answer right away . . . . This has changed not only the way that I teach but also the way that I learn, and I hope this for all teachers. I really think this is the best thing we could do for our kids.” Lynette Goulet, Watertown Middle School, Watertown, MA “Now, when I’m making my lessons I’m always thinking, what am I saying to students, and how can I expose my students’ thinking?” Laszlo Bardos, Rivendell Academy, Fairlee, VT and Orford, NH “Through Critical Explorers, kids learn the value of patience and deliberateness, and that really hit home for me a couple of years ago when I got the first group of students in my 9th grade course who had gone through the Critical Explorers program in 7th grade. I gave them something to do, and they really dug into it — to a degree that I had never seen before. And I knew it was because of their CE experience. I think that’s a great thing to be able to teach kids to do — to dig deep, and be thoughtful, and careful, and patient, as they wrestle with big ideas.” Kraig Gustafson, History Coordinator, Watertown Public Schools, Watertown, MA “My looking at the piece [in Steve Seidel's session on looking at classroom work] felt like an ‘opening up’ process as opposed to the ‘narrowing’ feeling or process I sense when ‘correcting’ or typically ‘commenting’ on a student’s work.  The order of the steps encouraged wondering and, in the process — awe.” Holly Turner, The Common School, Amherst, MA “When a veteran teacher comes to me and says, ‘You know, I’ve been through a lot of professional development activities before and this one really hit home for me, it really resonated with me,’ you have to give the teachers a chance to explore that as much as they can.” Kimo Carter, Principal, Watertown Middle School, Watertown, MA “What if we were doing this from year to year, from grade to grade, every teacher approaching it from their own context, their own curricular perspective as we went along, what would that do over time for the thinking of our students?” Gordon Christie-Maples, Samuel Morey Elementary School, Fairlee, VT and Orford, NH"
40426,2D array,2/18/16 16:00,"I know how to use a list as a 2D array that stores single charcaters and I can get a single charcater out of the list but how do I replace it? 3X3 array - - - , - - - , - - - teaching kids tic tac toe with 2 D array, want to change 2,2 so that it contains X - - - , - X - , - - -"
29590,4th Grade Math/Programming Curriculum,10/8/14 21:15,"Hello, everyone.  I'm a 4th grade teacher in Alameda, CA, and I've been developing simple Scratch-built modelers that cooincide with the math we're learning.  The project consists of 30 math modelers, and the 4th grade students at my school build them every week. I begin the lesson by demonstrating important elements of the build, then pass out the bulidsheets, and my students build the projects individually.  After students have successfully built a working version of the project, they work to customize it, making it their own. My students' enthusiasm for programming is overwhelming.  They cheer when I announce a build is scheduled; they push through challenging work, so they can earn time to improve their projects.  It is, quite simply, the best thing that's ever happened to my teaching, and I'm eager to share these little modelers with anyone who'll take the time to look at them. The e-book is nearly done; I'm just doing the page layouts for the final few projects.  I will publish the books for free under a creative commons license, and I'd also like to produce a series of build screencasts, that are similar to the lessons I deliver to my students.  Anyone can access the e-book here: http://goo.gl/pHF6Hd This year's class has built the first four projects so far; here are some student examples: Thousand Modeler: http://scratch.mit.edu/projects/26165870/ Multiple Thousands Modeler: http://scratch.mit.edu/projects/26522183/ Money Clicker: http://scratch.mit.edu/projects/26890050/ Digit Dotter: http://scratch.mit.edu/projects/28295704 If you have any questions or comments, or you end up using these in your classroom, I'd love to hear from you. When I finish the ebook, I'll be adding it to the Resources section of ScratchEd. Jeffrey Gordon 4th Grade Teacher Ruby Bridges Elementary School Alameda, CA"
29590,4th Grade Math/Programming Curriculum,10/9/14 17:30,Thanks for sharing your story and projects. Looking forward to seeing the ebook! M
29590,4th Grade Math/Programming Curriculum,10/9/14 20:40,"It's mostly done, if you want to check it out now.  The link is in my post."
954,9/26 Workshop - Reflections,9/26/09 21:07,"What a nice afternoon! Thank you Mitch and Karen for you hospitality! I spent the 2 hour drive back to the bucolic Monadnocks thinking about what a powerful tool Scratch is. On the surface, it is so cool that kids can replicate and invent media experiences they are currently consuming... but the transformative aspect of the tool is all about shifting our mental models about what it means to be about a learner/creator. This tool might allow us to begin to ask different questions in the classroom mmm... ""What is interesting about this?"" When we heard the story about the math deficient student who had the number line, positive-negative numbers AHA moment making his Scratch, it was just another chiming bell reminding us that 1 size does not work. Let's advocate adding Scratch to a list of options to demonstrate mastery of a concept! I was also very attunned to the fact that, a la Prensky, most of us are digi immigrants. A HUGE factor in allowing tools like Scrach to become more ubiquitous and pervasive is the need to realign the teacher's head so that they don't need to understand the technical level of what is happening. My most satisfied teachers are as gee-whiz about the coolness factor of the final project as the kids AND they are happy to see the key learning objectives articulated in the Scratch project. The best teachers - keep their hands in their pockets and ask, ""What do you want to do with what you just observed?"" Lastly, the need for us to honor and respct that we are homo ludens. We play to learn. We need most to transform/unlearn the behaviors that most teachers are judged by. Defeat the bell, the segmentation by discipline and we start new trails of inquiry!"
954,9/26 Workshop - Reflections,9/27/09 18:19,"I think your point about letting go of the technical level is interesting and important. While they don't need to be in control of (or understand) every aspect of interactions with Scratch, I do think it's important for educators to have a strong sense of the possible. What can Scratch help me and my students achieve? How to communicate that space of possibility for people is an interesting challenge!"
954,9/26 Workshop - Reflections,9/27/09 18:20,Ha! I got so wrapped up in responding to your post that I didn't say thanks. Thanks for coming to yesterday's workshop -- it was great to see you there!
954,9/26 Workshop - Reflections,9/30/09 5:42,"Hi. I hope you don't mind me sharing some thoughts. Yesterday, I had ninja35 and audifreak with me and we were having a Children's Day party.  One of the things we had to do was a shared Scratch project. I started by teaching audifreak how to draw a kingfisher by copying from a picture of one. She continued with the drawing and ninja35 contributed his input. Then we decided to have some fun and made it into a game.  I left the kids to complete it and they had great fun.  http://scratch.mit.edu/projects/audifreak/698625 The children learned how to work together as a team and they learned different scratch skills from one another as one took over when the other got stuck.  I think that Scratch is such a wonderful tool for team projects as well as for individual projects.  I believe that if you form the children into teams where each team comprises students with differing levels of scratch skills, they will learn very fast from one another.  I guess that the facilitator or teacher must be vigilant to ensure that the more adept student does not take over completely but learns to teach the younger (in terms of skill) scratch students."
26637,A bug or a misunderstanding?,4/11/14 15:57,I would like you to look over the three senarios of the following programm scratch.mit.edu/projects/20687843/ In my opinion it works inappropriately. It seems that the three senarios do not execute simultaneously. The first lines of the senarios of the sprites 2 & 3 are drawn and then are erased. It produces the desired result if I put the clear command at the third sprite only or if I put the clear command at a senario at the background and insert a wait commad to all sprites. What puzzles me is that the three senarios do not execute simultaneously. Thank you for your time.
26638,A bug or a misunderstanding?,4/11/14 15:58,I would like you to look over the three senarios of the following programm scratch.mit.edu/projects/20687843/ In my opinion it works inappropriately. It seems that the three senarios do not execute simultaneously. The first lines of the senarios of the sprites 2 & 3 are drawn and then are erased. It produces the desired result if I put the clear command at the third sprite only or if I put the clear command at a senario at the background and insert a wait commad to all sprites. What puzzles me is that the three senarios do not execute simultaneously. Thank you for your time.
26637,A bug or a misunderstanding?,4/11/14 17:07,It produces the desired result if I put the clear command at the third sprite only or if I put the clear command at a senario at the background and insert a wait commad to all sprites OR if after the clear command in the background senario create a message which when the 3 spites receive will start drawing.
26638,A bug or a misunderstanding?,4/11/14 17:06,It produces the desired result if I put the clear command at the third sprite only or if I put the clear command at a senario at the background and insert a wait commad to all sprites OR if after the clear command in the background senario create a message which when the 3 spites receive will start drawing.
9382,"A Day of Community Building and Networking for Educators, March 24, 1pm-9pm @ Boston ICA",3/22/11 16:04,"ScratchEd will be hosting an introductory Scratch workshop and participating in the evening open mic organized by the ICA's Regional Youth Media Arts Educator Consortium (RYMAEC). The two-part event will be held at the Boston Institute of Contemporary Art (ICA). A Day of Community Building and Networking for Educators Thursday, March 24 1-5pm, 6-9pm Boston ICA Two events on the same day! You must sign up for each event in advance. Part 1: SCRATCH WORKSHOP for EDUCATORS 1-5PM. This Workshop is designed to expose its participants to the versatility and creative potential of Scratch through examples, introductory exercises and collaborative projects. Bring your own laptop and be prepared to download Scratch for free. All Levels of computer expertise are welcome. Click here to register for the Scratch Workshop! Part 2: WEB 2.0pEN MIC 6-9PM. Show off your favorite uses of web technology for the classroom - blogging, wikis, twittering, etc. - and take new ideas home. Just bring your URLs. We'll present your work on the screen and hand you the mic! Click here to attend the WEB 2.0pEN MIC! For more information, please see the event website, or post a comment below."
9382,"A Day of Community Building and Networking for Educators, March 24, 1pm-9pm @ Boston ICA",3/24/11 11:32,Here are some resources for today's event: the sample projects from the opening demo the handout from the interactive collage activity Scratch video tutorials Scratch cards the Scratch starter projects package
9382,"A Day of Community Building and Networking for Educators, March 24, 1pm-9pm @ Boston ICA",3/28/11 9:13,You can find out what happened in this ScratchEd Story.
30201,a little troubleshooting help please,11/8/14 8:58,Here is a project and the note from a student: ************* http://scratch.mit.edu/projects/32767248/#player I would like my classmates to help me fix the problem I had with the second part of the game because it doesn't want to go to the second part for a few seconds and then switches to the last slide. ************* Could you all give me your advice? Thank you!
