NID	Topic	Topic Created	Topic Body
425	Organizing project postings in ScratchEd	8/1/09 16:48	"Thinking about the couple postings asking for more ordered collections of math and physics projects has me wondering about how this can happen in ScratchEd. I put together a collection of map projects (gallery maps and Scratch, http://scratch.mit.edu/galleries/view/53737) but finding them felt a lot like hunt and peck typing.  It sounds like having searchable collections of curriculum-related projects would be helpful to educators.  Entering a project at a time here in ScratchEd would be a pain.  Any other ideas for ways to use or modify the structure to meet this need? Karen R."
452	Plans for September?	8/11/09 21:19	The school year is starting up again. How will you be working with Scratch?
456	Interested in Scratch curriculum development?	8/14/09 8:52	"Hi everyone, John Maloney sent along this RFP for curriculum development for Introduction to Computer Programming for Boys & Girls Clubs of America. Maybe you (or someone you know) might be interested in doing something with this around Scratch? Thanks, K Request for Proposal to Boys & Girls Clubs of America For this project, BGCA is seeking an individual or firm that can develop a project-based, age-appropriate curriculum according to the specifications included in the attached document. Demonstrated experience and expertise in youth technology curriculum development is required. Knowledge and skills in program implementation and knowledge of youth development principles is essential. Knowledge of Boys & Girls Clubs programming and the national Boys & Girls Clubs Movement and its mission, core philosophy and goals is helpful, but not required. All materials developed for the program will become the property of BGCA. Project Background This project gives the more than 1 million youth across the country and on military bases (overseas), who participate in Boys & Girls Clubs Technology Programs, the opportunity to further enhance their technology skills and job readiness through the use of more advanced learning tools. The Introduction to Computer Programming curriculum further enhances the educational offerings of local Boys & Clubs and provides youth with exposure to the 21stcentury learning opportunities needed to succeed in today’s job market. Scope of Work The scope of work includes, but is not limited to, the following: Interview BGCA staff and local Club technology instructors to determine needs. Outline a program structure based on key BGCA staff and local Club technology instructors' input. Develop the print - based facilitators guide and activities for the curriculum including an interactive or video component Create detailed direct-delivery session plans for each program project. Develop an evaluation process for field-testing the program in local Clubs via the Web; incorporate testing results into overall program design and individual lesson plans. Deliver all content in the requested format which includes video or interactive media and the webpage which will house the curriculum components. Bidding Procedure Bidders can submit quotes on company documentation as outlined in the attached document. Respond via e-mail to Cindy Rondeau, Director, MIRACLES, Boys & Girls Clubs of America, at crondeau at bgca.org no later than Friday, Augusta 28, 2009 at 5 P.M. EST."
552	Need Curriculum Assistance ---quick!	8/21/09 14:58	"(I posted this somewhere else, but I think it's better to start a discussion topic.... Hello all Scratch users. I just learned Scratch (briefly) at NECC09, and I need to teach it to my students. They are in high school, but this will be there first exposure to programming of any type, so I think it'll be fun. Does anyone have a curriculum that I could follow to help the students learn it step by step, and not just ""make it work"", but learn some of the why's and terminology? Or suggestions for which projects I should teach/have them learn first, second, etc. All suggestions are welcome! THANKS!"
579	Workshop: Helping People Get Started with Scratch	8/22/09 21:04	"We just announced a free workshop that will be taking place Saturday, September 26 from 1-4pm at MIT Media Lab. Information below and at http://workshops.scratch.mit.edu What are different ways of helping people get started with Scratch? In this three-hour BYOL (Bring Your Own Laptop) workshop, we will discuss, develop, and document strategies for introducing Scratch to young people - and ways of working with Scratch over time. We will: discuss approaches and techniques for getting started with Scratch develop (and engage in) hands-on experiences with Scratch use ScratchEd to document the strategies we develop The workshop is open to all Boston-area Scratch educators, though some previous experience with Scratch is recommended. (We will be offering a hands-on workshop for beginners later this year.) Registration is limited to 25 people. The workshop is free, but your participation is not confirmed until we receive a $20 deposit check, payable to Lifelong Kindergarten at: Scratch Workshop c/o Lifelong Kindergarten 77 Massachusetts Ave. E15-020a Cambridge, MA 02139 Need more information? Email us at workshops@scratch.mit.edu"
584	Word Cloud in Scratch?	8/23/09 10:37	"I am relatively new to Scratch and don't know all of the ways it can be used.  I was wondering if it can be used to create a Word Cloud, similar to Wordle.net (link) The process would be: 1.  get list of words 2.  count occurances of each word 3.  draw text horizontally or vertically with font proportional to number of occurances 3a.  make sure that text does not overlap Thanks for any advice!"
633	Set up a Scratch server	8/26/09 15:31	"I received a question via email about how to share Scratch projects beyond the main Scratch site. In case others are also interested, here are the links I sent along. You can post your Scratch project on the Scratch site, but embed it in a different site. You can post your Scratch project, without having it on the Scratch site. You can also set up your very own Scratch site. ScratchR is the name of the Scratch site platform. People have discussed setting up ScratchR on the Scratch forums, here and here."
656	Scratch on a Novell Network	8/28/09 10:01	"Greetings all - Here is a helpful summary of the steps required to install Scratch on a Novell Network,  generously provided by Bill Pickle from Bellevue Public Schools, Bellevue, NE. I'm posting it here so that School IT experts can find it... Hi, > > > I was asked to load Scratch on a Novell network that has netware6.5 servers. The instructions on your site do not include how to install and run Scratch in a Netware environment. We use the Netware Application Launcher (NAL) to deliver apps to userd. I got it to work and thought you might like to know how I did it. > > > Here is how I got it to work: > > > installed program on a windows workstation. copied the Scratch folder to the netware server. created an icon in the NAL. in the run options the path to file: (for example) \srv olderscratch.exe just below this line is Prameters: this must be set to \srv olderscratchscratch.image > > > Without the parameter set the program asks for the location of the .image file. The applications run from a hidden server share in our environment, so students can not browse to the app location."
712	editing and related	9/2/09 10:53	"hello, i cannot do the proper formatting of my posts, as you have already realized ...; i'd like to insert itemized lists, links and wraps etc., the way i see you do; but how ??? i am very sorry for the bad appearance of my posts; thanks"
748	dates for discussion comments	9/7/09 9:47	"Some feedback on following discussion threads. 1. I am having trouble following the sequence of discussion comments.  Any chance of having dates posted with each message? 2.  When the e-mail comes through with updates about new posts, there seem to be a lot of extra lines and repeated text--not as easy to sort out what goes with what, and thus what is interesting to follow up on , as the regular Scratch forum e-mail. All the editing tools are very helpful! Thanks, Karen R."
751	Can Scratch do multi-user game ?	9/7/09 13:03	"In a multi-user game settings, typically each user has its own local state and exchange messages to update its own state.  I am not aware how these can be achieved in Scratch.  Or anyone can share their tricks ? The current programming model in powerful enough that a slight extension to a ""space"" scope should be sufficient to incorporate this capability. On top of ""variable of this sprite"" and ""variable of all sprites"", we add a scope: ""variable of all sprites in this space"". When broadcast a message, we add an option to broadcast to all sprites within the space. The communication among different players VM can happen via P2P or via a hosted message broker Does it make sense ?  Thoughts ? Rgds, Ricky http://horicky.blogspot.com"
810	Game-making rubric?	9/14/09 15:13	"I'm teaching Scratch in my 6th grade computer class. The kids love it and are eagerly building the Fish game from the redware site. They will eventually design and build their own games. Does anyone have a rubric they've found successful for evaluating the games? I would like to put it out there as they start so they have some means to measure their progress. Thanks in advance, Bob in Lancaster, PA"
836	Tons of Questions....	9/16/09 2:50	"I have a Games Design course for HS students, and I have a vision of having all 12 kids sitting at computers in our school network, writing games in Scratch. Then, at the end of the period, they upload their games to a gallery I have created called 'HKISgamers', where we can all access them and play each other's creations that night from our homes. But here's the rub. 1) I have created the gallery, made it public access, but how do I get my kids to be able to find it to contribute their work? There is no 'search galleries' function. 2) If three or four kids all try to log on to their Scratch accounts from different computers in our network, they end up being logged into someone else's account instead. Apparently, I cant have multiple users from a single network on line simultaneously. 3) When someone tries to upload their game, the screen goes dark and they are told that they are trying to do an impossible task and told to restart. I have a sneaking feeling that this is related to #2. How do I achieve my vision of having a  common, findable gallery where the kids can deposit their work while in school? M"
841	"Is it possible to sense which costume a Sprite ""has on""?"	9/16/09 14:31	"Is it possible to sense which costume a Sprite ""has on""?"
910	Scratch and Lego	9/22/09 23:19	"Hi, has anyone created a curriculum that involves Lego's WeDo set with Scratch? Any possibilities of creating a curriculum out of this combination?"
914	Ways to use Scratch in Massachusetts with Grade 4	9/23/09 10:03	I am looking for ways to use Scratch to deliver the MA frameworks curriculum in fourth grade. Love some suggestions beyond asking the students to create a tall tale... Thanks for any help that you can provide! Janet Tortora
928	sprite rotation style	9/24/09 9:06	Is it possible to change the sprite rotation style from a program?
954	9/26 Workshop - Reflections	9/26/09 21:07	"What a nice afternoon! Thank you Mitch and Karen for you hospitality! I spent the 2 hour drive back to the bucolic Monadnocks thinking about what a powerful tool Scratch is. On the surface, it is so cool that kids can replicate and invent media experiences they are currently consuming... but the transformative aspect of the tool is all about shifting our mental models about what it means to be about a learner/creator. This tool might allow us to begin to ask different questions in the classroom mmm... ""What is interesting about this?"" When we heard the story about the math deficient student who had the number line, positive-negative numbers AHA moment making his Scratch, it was just another chiming bell reminding us that 1 size does not work. Let's advocate adding Scratch to a list of options to demonstrate mastery of a concept! I was also very attunned to the fact that, a la Prensky, most of us are digi immigrants. A HUGE factor in allowing tools like Scrach to become more ubiquitous and pervasive is the need to realign the teacher's head so that they don't need to understand the technical level of what is happening. My most satisfied teachers are as gee-whiz about the coolness factor of the final project as the kids AND they are happy to see the key learning objectives articulated in the Scratch project. The best teachers - keep their hands in their pockets and ask, ""What do you want to do with what you just observed?"" Lastly, the need for us to honor and respct that we are homo ludens. We play to learn. We need most to transform/unlearn the behaviors that most teachers are judged by. Defeat the bell, the segmentation by discipline and we start new trails of inquiry!"
957	Scrolling Backgrounds	9/26/09 21:09	"OK, I heard someone, Peter, amybe. saying scrolling backgrounds were tough... so how do we do it? thxs"
990	Anyone on Linked In?	9/30/09 23:18	"I started a group on Linked In (a professional networking site) for educators interested in teaching with Scratch. http://www.linkedin.com/groups?homeNewMember=&gid=2339178&trk=eml-grp-sub While I definitely think that Scratched should be the hub for discussions directly related to Scratch, Linked In seems to offer additional opportunities for professional networking.  Linked in is a website that helps people make and manage professional contacts.  This gives a more detailed intro to it: http://press.linkedin.com/ Best, Rick"
1010	Speed of Loops	9/30/09 14:02	"If I have a forever statement with ""turn 1 degree"" inside, the sprite turns fairly slowly.  Is the speed at which the sprite spins  machine/microprocessor dependent? If I want a sprite to rotate 360 degrees (smoothly) in 4 seconds, what is the best way to achieve the desired timing? Thanks, Hans"
1024	Is it possible to count spites in project?	10/1/09 11:33	How can I count sprites in project? Or may be it possible to ask ID of each sprite?
1055	Blank page bug squashed!	10/4/09 12:42	"Rick reported a super annoying bug yesterday. I know that many of you may have experienced it: you get redirected to a blank page when posting content. I think it's fixed! (It had to do with the notification email settings.) If you see it again (or any other glitchy bits), please don't hesitate to post! Thanks, K"
1062	Website vs. local	10/4/09 21:22	Some of my students claim their Scratch programs run differently (timings are off?) on the website than do when running locally...are there known problems  with this?
1127	.sb projects invisible on Resource page	10/12/09 12:33	"I just added a Scratch Project to the resource page. My project uploaded fine, and there is a link to the project in the horizontal scrolling area.  However, no image of the project displays, so the scrolling area appears to be empty."
1153	How do I change the default image from the cat to something else?	10/14/09 13:41	Mitch mentioned at a workshop that this could be done. It would be helpful to be able to do this for different groups of people. :) Peter
1183	Broadcasting	10/17/09 22:05	How do you send all sprites back to their original location so that you don't have to manually move them back to their starting point every time you start the scripts?
1209	Reading and Writing with Scratch	10/20/09 11:18	"I'm developing a workshop proposal for using Scratch in secondary English classes and hope I might be able to get some input and feedback. To begin with, I need to decide how to focus my presentation.  Here are a few strands of thought I've considered: Exploring the parallells between games and traditional narratives, particularly how most State Standards of learning for literature can be taught through video games. Using Scratch as an new approach to reader response theory. Developing cross curricular projects (and helping humanities teachers tap into STEM funding streams) Teaching the process of composition with an emphasis on how new collaboration platforms and the fluidity of digital media change the traditional ""Plan, Draft, Revise, Edit, Publish""  approach. Exploring ""Kenetic Text"" and how Timing, Location, Color, and Font have an impact on the meaning of a text (expanding the definition of literacy). Creating relevant writing projects- Reviewing projects, Publishing a Scratch Newspaper, Producing a Scratch series. Integrating Scratch with Moodle. What would you want to learn more about? Which ideas need more clarificatioin?"
1256	New Scratch Tutorial Needs Your Feedback	10/23/09 16:11	"Hi Scratch Peeps, I would love to hear your feedback on these 2 short Scratch Tutorials for beginners. They look the same but sound different. So I would like hear YOUR opinion on what you like and what you would do differently. Below are some guidelines if you need some prompting You may watch in any order, but please let me know which video you watched first. You post your feedback here or on YouTube Thank you! Your participation is greatly appreciated! Robyn Bykofsky THINGS TO THINK ABOUT WHEN VIEWING VIDEOS Overall What did you like about this video? What would you do differently? Is this video helpful? Did you like one video better than the other? If so... Which video did you like better? Why? Listen Carefully Visuals Do you like how it looks? What do you like about the looks? What would you do to make it look different? Can you see everything clearly? Sounds (answer for each video) What do you like about the overall sound? What you do to make it sound different? Do you have a favorite sound? If so, which one(s) and why? Can you hear the narration clearly? Additional Comments"
1288	Scratch feature	10/25/09 22:45	Do you think will be possible -in the near future- to control PicoCrickets with Scratch?
1323	Upcoming Workshop: My First Scratch Workshop	10/29/09 6:09	"We invite you to join us for a free workshop that will be taking place Saturday, November 21 from 1-3pm at MIT Media Lab. Information below and at http://workshops.scratch.mit.edu ---- What can you create with Scratch? In this two-hour BYOL (Bring Your Own Laptop) workshop for educators, we will: explain the core ideas underlying Scratch guide you through a set of introductory hands-on activities discuss strategies for integrating Scratch into classroom practice introduce you to ScratchEd, a companion website where educators share their Scratch ideas, experiences, and resources The workshop is open to all Boston-area educators, specifically those that have no previous Scratch experience. Registration is limited to 35 people. The workshop is free, but your participation is not confirmed until we receive a $20 deposit check (along with contact information, including name and email address), payable to Lifelong Kindergarten at: Scratch Workshop c/o Lifelong Kindergarten 77 Massachusetts Ave. E15-020a Cambridge, MA 02139 Need more information? Email us at workshops@scratch.mit.edu"
1351	Fil a project in a web page	10/31/09 13:25	"I read how to fil a project in a web page, I download the file ,jar and the other one, I create e page html  and embed the code it works on my PC but it does'n wiork when I upload it on the remote server where is my website. How is wrong? I'm working with my students, they are very proud of they project and woul show them on the school website. Can  someone help me? Thanks a lot. ( I won't publish these projects on scratch website because they are very small project, my students are 9 and are working with scratch only for 2 months!)"
1397	Teen-age Scratch Project Ideas	11/4/09 15:57	"The following is a class project I am planning on having my grade 10-12 Computer Literacy class tackle. Do you have any suggestions for other criteria to include for this project. Any related ideas ? Contact me through the ScratchEd site or email me: hmoyer@pittsfield.k12.nh.us  herb.moyer@comcast.net Thanks, Herb Moyer Scratch Culture Project You may work alone or in teams of two. Create a Scratch program that celebrates, describes, epitomizes, teaches, or displays some aspect of teenage culture and teenage life. Here are the minimum requirements. Meeting these will get you some range of a B- to C grade. Exceeding them will give you a greater chance of getting an A: 1.   You must include at least four different backgrounds or costumes of a background theme. 2.   You must include at least seven different sprites (that does not include different costumes of a single sprite). 3.   You must either include music or audio (sounds or spoken words). 4.   You must include at least 25 different commands. 5.   It may be educational, funny, sad, tragic, poetic, historic, or any other adjective or adverb you can ascribe to it or describe it with. Suggestions: *    Try your best to be creative *    Get ideas from your classmates by showing your progress to them along the way through the development of the  project *    Look at a range of other student Scratch projects for ideas and code writing help *    Go online to use the Scratch help, forums, support, etc. Go to www.scratch.mit.edu *    Use the Help menu within Scratch *    Ask for help; ask for help; ask for help *    Have fun !!"
1560	Scratch Programming & Online Education	11/15/09 0:02	"Hello, Anyone want to colloborate with me to develop a sharable Moodle/Blackboard 9 week course to introduce students to programming through Scratch? My goal is to have this course ready for January. Besides here, you can contact me on Twitter: weemooseus I am willing to use Google Docs/Wave, wiki, or other format for collaboration. Carl"
1582	Perimeter	11/16/09 15:34	"As part of one of my math classes we are learning about scratch.  I was asked to write a scratch procedure that would allow me to produe a regular polygons that have a fixed perimeter of ""420 sprite steps."" I was wondering if anyone can help me get started on this. Thank you in advance  for any help you can give!"
1587	"Scratch events at ""Make: Tokyo Meeting 04"" on Nov 22nd and 23rd."	11/17/09 7:59	"Hello all, Our group, Children's Programing Circle, will have workshop, presentation and demonstration of Scratch at Make: Tokyo Meeting 04 (MTM04) on Nov 22nd and 23rd. http://scratch-ja.org/atmtm04 Make: is a magazine about DIY published by O'reilly. Many geeks will attend the meeting. (Similar event is called Maker Faire in US.) http://jp.makezine.com/blog/2009/11/mtm04.html If you live in near Tokyo, let attend the meeting. Cheers, Kazuhiro Abe"
1595	exporting variable lists	11/17/09 15:22	"Hi, Is it possible to export a variable list after someone uses the project from the mit.scratch.edu website?  We have created a project that shows math equations and are using scratch to record their response and reaction times by entering them into a variable list.  But I can't seem to figure out how to look/export the response list from the website.  Thanks!"
1612	When I Receive	11/18/09 12:04	"The message that you create for ""When I Receive"", and the blocks that follow that message ""name"" - is that similar to creating a procedure in logo?"
1613	Combining multiple projects into one	11/18/09 12:20	"My class is trying to recreate a story with animations on each page.  The students started out with scanned story pages - one page per student.  Next, they create sprites and stages from these scanned pages, along with scripts for each of their pages (one project per student now). We are now ready to put all the pages (projects) together into one animated story.  Is there an easy way to do this - or at least a favorable way?"
1723	UK Primary Schools using Scratch	11/26/09 7:52	"I'm lecturing a course on 'programming for primary teachers' as part of Roehampton University's teacher training programme, for which we're using Scratch. I'd like my students to spend some time evaluating primary pupils' work in Scratch, and wondered if there were  primary schools (ideally UK based) who had galleries of projects available online. It's probable that Teachers' TV will be filming this session of the course."
1730	"Short term Scratch ""Professional Learning Community"" project volunteers?"	3/27/10 15:04	"Want to connect more directly with other educators over the context/concepts/integration of Scratch in your teaching? I am looking for five or so teachers who would be willing to help me with an assignment for a unversity staff development class.  We are asked to facilitate a group of teachers learning collaboratively in at least four meetings.  I'm interested in trying out an on-line version of the assignment and it would be fun to play more with Scratch at the same time. The project needs to be completed by March.  The learning focus and mode of communication depends on the interests of the group. My direct contact is karensrandall@gmail.com, or post a reply.... Karen R."
1745	Scratch Tutorials need YOUR feedback	11/28/09 11:39	"Hi Scratch folks, Once again, I need YOUR feedback on a few very short videos! All you need to do is watch the videos (the links are below) and fill out the Survey Monkey Questions (link bellow) Here is the link to the survey: http://www.surveymonkey.com/s/CS99HXC Video Links - Video A http://www.youtube.com/watch?v=qBHyCKxGLss Video B http://www.youtube.com/watch?v=guwe1K8BGB8 Video C http://www.youtube.com/watch?v=cer7Lb3dFFY Video D http://www.youtube.com/user/rdbyk#p/u/0/_jq2ug_kdZc Thanks! Scratch Video Tutorial Design Team"
1755	Permission to use Scratch logos/emblems in unit	11/29/09 13:37	I am working on a Scratch unit for Moodle and Blackboard. Who do I contact for permission to use the Scratch logo as part of the course unit? This unit will be available free to all educators. Carl
1786	Are PICOboards the only choice?	12/2/09 6:12	Can anyone please clarify whether it is only the PICOboard that is compatible with Scratch. Any advice/guidance/help would be greatly appreciated. Thank you : - )
1805	Do we have any research about SCRATCH showing the importance of SCRATCH for Junior High ?	12/2/09 23:42	Is their any research or study about using SCRATCH in Junior High schools ?  and why it could be important for the students ?
1822	"Yes, totally amazing - camspace"	12/4/09 13:15	"Hi Today a young student ,12 yrs, gave me a little hint of website called camspace. You can use a webcam to track things and use the tracking to a mousemove... I´ve had a two hour scratchclass with the students. And he had of course downloaded Scratch. And today he gave me the tip about camspace. I tried it when I came home.. and yes, it did the tracking.... I tried to use a small colored paper to be tracked and made a small scratchprogram with mouse x/y and I managed to move my scratchsprite with the colored paper... So I couldn´t resist to write in this forum... :) Now you can track everything, and use it in your scratchprogram. Every day has something new to be explored, Anders"
1851	Special Education	12/7/09 12:37	"Students with developmental disabilities and emotional/behavioral disorders have few options to develop 21st century skills. I have an 18 year old son who can search for cheat codes on line, sort through the hits, copy the codes and enter them into his game console to change the parameters of his games (zelda, pokemon, final fantasy).  With a game controller in his hands, he can focus for hours.  In class, he can focus for minutes.  The reason he finally learned to read was in order to understand game dialog and walk through game guides.   His game skills have not transferred to any other aspect of his life. I think Scratch (and video gaming) could be doorways into computer literacy for students like my son who populate classrooms/schools separated from the mainstream because of unacceptable behaviors.  His future employment is likely to be cleaning offices or washing windows or shredding paper.  If he worked online, his behaviors would not be an issue.  His fine motor skills are impressive.  He wants to design video games but expects his first effort to look like something from Square Enix or Nintendo. Is anybody teaching Scratch to these students?  (My suspect credibility as Mom makes it hard for me to teach him Scratch --or anything else--at home.)  In a structured setting I think he would really enjoy using Scratch and uploading his projects for feedback would support his interest in becoming a video game designer.  How can we introduce Scratch to Special Education?"
1864	Scratch text recommendations	12/8/09 9:56	"I'm looking for a good text on using Scratch in the classroom, similar to ""Learning To Program With Alice"" in the Alice language.  Sorry, but I wasn't so impressed with Scratch For Teens.  Let me know if there are others to look at. Thanks"
1999	"Scratch@MIT 2010 | reimagine, rethink, remix"	12/17/09 12:39	"Come to Scratch@MIT and explore the ideas, applications, and joys of Scratch. Since the first conference in July 2008, the Scratch community has continued to grow and evolve, bringing in new people, new places, and new practices. Join educators, researchers, developers, and other members of the worldwide Scratch community to reimagine, rethink, and remix ideas about learning and teaching with Scratch. We will gather at the new Media Lab building on the campus of Massachusetts Institute of Technology (MIT) to: share stories of how Scratch is being used in homes, classrooms, and community centers participate in hands-on workshops, to learn new Scratch techniques and strategies discuss research examining how and what kids learn with Scratch explore future directions for Scratch with members of the MIT Scratch Team Everyone is invited to submit proposals for posters, demonstrations, presentations, panel discussions, and workshops (deadline: February 1). Pre-conference workshops will be held on August 11, with the main conference events taking place August 12-14. Conference registration opens on March 15."
2009	Deleted Sprites that won't disappear	12/18/09 0:41	"I just started teaching Scratch for the first time, on iMacs running Mac OS 10.  Several students have had this problem:  They deleted a sprite, but the image of the sprite remained on the Stage.  Since the sprite itself does not appear on the Sprite List, nothing can be done to remove the image of the sprite from the Stage.   Any suggestions?"
2119	Using Lego WeDo parts	1/1/10 9:09	"Hello, Spent yesterday playing around with some Lego Wedo parts in Scratch. Right now Scratch can recognize / control one motor.  One can hook two motors together and they will both do the same thing, but they cannot be controlled separately. I'd like to see the ability added to sense what is hooked up via usb and then have the ability to control it / them. This would extend to the sensors as well I suppose. On a non-Scratch note the Wedo tilt sensors are simply awful. At first I thought I had a dud, but the one from the second packet was just as bad. It is supposed to generate a number depending on which way the unit is tilted, but I think a random number generator would be just about as useful.   :-("
