CID	NID	Topic	Comment Created	Comment Body
1061	269	School Project collections	10/10/09 0:24	"I have a couple school-related sites. In my previous district, we setup an introductory course to be used across schools through our course management system, Moodle: Introduction to Scratch (select ""Login as Guest""). I also posted a couple student projects in my account: http://scratch.mit.edu/galleries/view/28288 I'm in a different district this year and I'm hoping to get galleries set up soon for each of the two schools I work in. A few of the integrated Scratch projects we tried to do were mostly centered around Social Studies and storytelling. For example: - Create a project retelling part of a Greek myth, including historically accurate drawings and at least 2 narrations. - Create a project describing an event or artifact from the Leakey site. It must include at least 2 sprites. http://scratch.mit.edu/projects/wbtech/307482 - Create a projecting showing some aspect of Egyptian life, using historically accurate sprites. Another student created his own Scratch project as a commercial for an assignment in another class: http://scratch.mit.edu/projects/wbtech/582728 As another link between school and Scratch, I started a Scratch Club last week for grades 5-8 at one of my schools. We're going to be meeting once a week after school for a little more than an hour until mid-December. Since yesterday (our first meeting), I've seen two of the participants sharing Scratch with their friends during the day - exciting stuff! I'm hoping to have some sample projects from the students to then bring to their teachers as concrete, relevant examples of how their students are using Scratch. Ingrid"
1066	269	School Project collections	10/11/09 7:28	What's the link to the Moodle site? Thanks! K
1085	269	School Project collections	10/17/09 10:40	"Bilfen Primary Schools from Istanbul/Turkey has setup a gallery 2 days ago. Here is the link: scratch.mit.edu/galleries/view/61102 Regards, Nevit Dilmen"
1124	269	School Project collections	10/29/09 4:59	"Hi. I tried to visit the gallery and received this message: The page - scratch.mit.edu/galleries/view/61102 - cannot be found. Try again later or search for something else: Can you check please? Thanks. Best regards, Ai Boon"
1154	269	School Project collections	11/6/09 9:13	Sorry it seems they have deleted the gallery. I setup a new one. http://scratch.mit.edu/galleries/view/61565 It includes projects from Bilfen primary school Istanbul students. Nevit Dilmen
1182	269	School Project collections	11/18/09 16:44	Thanks.
1324	269	School Project collections	1/12/10 6:49	"Hey all, I'm working with 4th graders and Scratch and wondering how others might be addressing the issues around setting up student accounts so that kids can participate at the wiki. Last year, just as school was ending I had a child come up against some--not obscene--but certainly rude comments about a posted project. His parents stepped in, deleted his wiki account, and nailed me with some highly critical accusations for putting their child at risk for negative comments. Realizing that helicopter parents exist, what are other educators doing? Currently I am posting only certain student projects in a school account, but that seems counter to the spirit of the wiki sharing...Just opening up the topic for discussion. As I type this I'm thinking I'll workaround by setting up accounts linked to the gmail numbers-appended workaround teachers originally used for Voicethread...Time consuming, but pretty ""safe."" Any other suggestions? Thanks in advance, Scott"
1327	269	School Project collections	1/12/10 17:42	"Hi Scott, You might be interested in this related thread: http://scratched.media.mit.edu/discussions/how-do-i/set-scratch-server K"
1454	269	School Project collections	3/1/10 16:43	I have some geometry specific programs as well as student samples here: http://scratch.mit.edu/users/aftaraga
1760	269	School Project collections	9/25/10 12:18	We use a plugin for our Moodle VLE to allow students to publish the Scratch games that they create in ICT lessons and give / receive feedback using a forum with their scratch games embedded. http://scratched.media.mit.edu/resources/scratch-filter-moodle
3873	269	School Project collections	3/3/13 21:31	I have a photo album with project picks and the urls on my facebook page: www.facebook.com/pages/STRETCh-Instructor-Striving-To-Reach-Every-Talented-Child/172282802807283 I am continuing to post more every day! I also have a K-8 programming playground website and blog with resources: sites.google.com/a/stretchinstructor.com/k-8-programming-playground/ computationalthinkingforall.blogspot.com/
855	298	"Building Learning Communities | July 27, 2009"	7/23/09 17:32	"Hello! I'm Nancy- I've taught grades 1-4 in New Hampshire and now 2 years as tech integrator at the American School of Madrid. I have an after-school group 2x a week in Madrid and in the past we focused on Digital Media. I wanted to use Scratch, so 2nd semester last year this group solely used Scratch. I had 8-12 grade 2-4 students (boys and girls) on Mondays and Wednesdays after school for an hour (some came 1 day a week, some both days each week.) There were a few who came to the lab where we met a few minutes before the official end of the school day they were so eager to get going! It was an amazing experience- collaboration, creativity, fun. I mostly watched and asked about what they were doing after I facilitated the start up. I did post some projects. Most students downloaded the program to use at home and set up their own accounts. Next year, I will hold after school groups 4 days a week- 2 days for grade 1/2 and 2 days for grades 3/4. I plan to intro other tools, programs, projects but also have Scratch available. What I want from the 2 workshops is guided training on how to use the program, ideas for how to use in the classroom and connect with others who may want to collaborate. I'm very much looking forward to it!  -Nancy"
858	298	"Building Learning Communities | July 27, 2009"	7/24/09 18:30	"I work with grades 1st, 2nd, and 3rd at an all boy school in Memphis, TN. I help integrate technology into the classroom every day. I also work with teachers to give them ideas and lessons to use with their students. I used Scratch with 3rd graders this past year as an introduction to it for me and the students.  They loved it, the teacher loved it, and I loved it. I am interested in how to integrate more into the curriculum and classroom throughout the year.  I am also looking forward to learn more about it other than what I have taught myself through using it with the 3rd graders."
859	298	"Building Learning Communities | July 27, 2009"	7/24/09 22:46	"My name is Jennifer Garcia. I am a Canadian teacher who has been working in El Salvador for the last 13 years. I currently teach ICT as well as run the new Learning Resources Centre. This past year our staff and students have taken to digital projects in a big way and we hope to continue expanding our digital toolboxes. I first became interested in Scratch about a year ago when I received information about it in an email. Unfortunately, I never got much further than downloading the software. This coming school year we are hoping to make Scratch a part of our ICT curriculum in at least one grade from 6th to 8th, and later bring it into other grades in the school. I really look forward to learning how to use Scratch myself as well as gain a better idea of how to use it with students to enhance their learning. Our school is very excited about the prospect of bringing Scratch in and I am hopeful that these two workshops will help us to do it really well."
960	298	"Building Learning Communities | July 27, 2009"	9/9/09 12:59	"Hi Cindy, I""m working on a Scratch-based project that includes staff from the Memphis Public Library. They've been running a range of programs with Scratch at the Central Library. Please email me off list if you would like to be in touch with those staff. Jennifer jrnelson@hclib.org"
771	300	Resources Rating System	7/12/09 12:07	"I would really like to see an Amazon or Yelp-like 5-star rating system.  It'd be helpful to have successful resources bubble to the top to minimize digging around as more and more get added. I suppose favorite count could be used in a similar way but there's a little less information captured.  A resource which isn't anyone's favorite is not the same as a one-star resource.  Similarly, bookmarking could mean 'I'd like to try this later' rather than meaning anything about the resource's usefulness."
1023	300	Resources Rating System	9/30/09 7:15	Do we need a [LOVE IT] button? 5 Stars like on YouTube is a good idea.
774	314	"Screencasts, publish on YouTube?"	7/13/09 21:11	"Hi Dave, We worked with an intern last semester who started working on a series of video tutorials for Scratch. He posted them on YouTube, if you'd like to check them out: http://www.youtube.com/user/SHEAH909 I'm pretty sure he used Adobe Captivate to do the recordings... I recently purchased ScreenFlow. What do you think of it? Thanks, K"
776	314	"Screencasts, publish on YouTube?"	7/13/09 23:55	"I just watched a few. Very good. I’ll tell my students about them. So far I think ScreenFlow is excellent. I haven’t done much fancy zooming in and out and things. I tend to make large videos, and do it in one take."
870	314	"Screencasts, publish on YouTube?"	7/27/09 5:25	"As the Young Programmers podcast is getting more popular, I’m starting to make the ScreenFlow screencasts smaller, but zooming in on the relevant bits. Video files are much smaller now. I’ve also learned the right QuickTime encoding settings (framerate, keyframes, etc.) for these types of screencasts, and that makes a huge differencet too."
871	314	"Screencasts, publish on YouTube?"	7/27/09 19:38	"Ah, that's great! Would you be willing to share the encoding settings? :)"
874	314	"Screencasts, publish on YouTube?"	8/1/09 14:09	"Sure. I use H.264, unless I am supporting an older version of QuickTime (I didn’t anticipate making the videos this summer and so didn’t upgrade the QuickTime in our lab), in which case I use MPEG-4. If there is no video (a talking head, for example) in the screencast, then a frame rate of 10–15 is good enough. Key Frames: Automatic. Frame Reordering: True. Data Rate: Automatic. Compressor Quality Medium to High, and Encoding: Best (Multi-pass). Audio: Mono. I sometimes lower the sample rate to 22.05 kHz (especially if it’s just human voices). Mono, unless there is other than a single person talking on one channel. I look forward to seeing your results. Dave"
876	314	"Screencasts, publish on YouTube?"	8/1/09 14:25	I did a little refactoring and moved my explanation here: http://briccetti.blogspot.com/2009/08/quicktime-encoding-settings-for-my.html Now to delete my other two replies. Not sure I can.
879	314	"Screencasts, publish on YouTube?"	8/5/09 17:30	"I've used snapz Pro for years and it works great. Have you tried Jing http://www.jingproject.com  ? It works very nicely, let's you save to a Screencast server or your own hard drive and, here's the best part, it's free. This coming semester I'm going to put it on all the machines in my lab and have the the kids create their own instructional videos for each other. This will be especially cool for kids to demonstrate their Scratch ideas to their classmates. Michael Smith Ann Arbor Open School"
882	314	"Screencasts, publish on YouTube?"	8/15/09 18:19	I have scratch videos at http://www.redware.com/scratch and use camtasia and camstudio to create them. There are tips at http://www.showmedo.com  or on how to create these videos. I initially converted to SWF format which runs well on a website but unfortunately does not upload that easily to youtube. So am looking again along the lines of the tips here..http://www.youtube.com/watch?v=Kiug3H3c4gk
883	314	"Screencasts, publish on YouTube?"	8/15/09 19:20	Thanks for the camtasia perspective. I hope you'll share all the great resources you've developed!
884	314	"Screencasts, publish on YouTube?"	8/15/09 19:21	"Thanks for the tips! I just finished a series of short video tutorials for ScratchEd, based on your advice."
930	314	"Screencasts, publish on YouTube?"	8/24/09 9:08	I've put together two short videos that demonstrate how to create simple animation very quickly.  More will be coming soon.  Please feel free to use them if you think they might be helpful in you classes. http://rickashby.com/moodle/course/view.php?id=3 rickashby.com/moodle/course/view.php
931	314	"Screencasts, publish on YouTube?"	8/24/09 15:52	Thanks for sharing your moodle and videos. I liked the rapid review at the end. You should add these videos and the moodle as a resource!
918	315	Nice discussions software	8/23/09 9:24	What is the platform you use for this site? It is a very sweet project platform. Update: I think I see Drupal things in page sources - is it a Drupal template?
919	315	Nice discussions software	8/23/09 9:27	"Yep, ScratchEd is built on Drupal."
1037	315	Nice discussions software	10/3/09 14:15	"I notice that when I post to discussions, I am forwarded to a blank page and have to use my browsers back button to return to the site."
1038	315	Nice discussions software	10/3/09 16:14	"I've noticed this too. (And I find it quite annoying!) It's on my bugs list. Thanks for the report -- if you notice any weird behavior, I'd be happy to know about it! K"
1782	315	Nice discussions software	9/30/10 3:39	"Karen, Are you aware of anyone who's got a Drupal/Scratch integration up and running, so that Scratch files attached to a Drupal post play in the browser? There's advice on how to make a start on this at http://drupal.org/node/921736 but nothing plug-and-play that I've found so far... Miles."
1783	315	Nice discussions software	9/30/10 8:34	"Hi Miles, I created a Drupal scratch project field module for the Scratch Tours on the main Scratch website. http://info.scratch.mit.edu/Scratch_Tours Is that what you're looking for? Thanks, K"
1858	315	Nice discussions software	11/5/10 9:47	"Hi Karen, I think so - I'd like to make it possible for my students to be able to embed Scratch projects inside Drupal nodes, as you have at http://info.scratch.mit.edu/node/120/5 Best wishes, Miles."
1859	315	Nice discussions software	11/5/10 12:48	"Here a link to the module that makes a Scratch project field possible: scratch_project_field.zip And how to install... Install modules: Views, CCK, Token, Pathauto Copy the scratch_project_field module to sites/all/modules Enable the scratch_project_field module Hope that helps! K"
775	318	How do you introduce Scratch to beginners?	7/13/09 22:31	"I'm still learning Scratch, but I took the risk of staying one lesson ahead of the kids this year and taught it in our computer lab.  I used the How to use Scratch Intro video from the videos page on the Scratch website as the very first exposure.  This gets the students curious and interested to get in and explore on their own.  I guide them through all the ""buttons"", give them some exploratory time, and then they start a simple walkthrough lesson.  This introduces the concepts of deleting and painting new sprites, switching costumes, and using the forever block.  It's very simple, and we don't get into naming sprites or importing them just yet.  The stage stays blank, too. From this point, some students are going to rocket off on their own and start self-directed learning, trying out new blocks and jazzing up this lesson.  For others, it at least makes it seem easy to do, and they are willing to do some more tutorials to get some projects done. I like doing a step-by-step tutorial like this at the beginning because it allows all students to have a feeling of success, and this gets their interest peaked.  Although, at our advanced users Scratch summer camp, the kids really breezed right through this and were eager to move on to something more challenging. The projects that are included in Scratch are great examples, too."
880	318	How do you introduce Scratch to beginners?	8/12/09 22:19	"My museum uses Scratch both in our museum for summer classes and workshops and in local libraries. Because we're sometimes working in drop-in settings where we might have a youth come in and spend time anywhere from 5  to 60 minutes,  We've started to introduce Scratch in a whole new way: We have computers set up with Scratch running, and invite youth to come and try the a 'new' program called Scratch. We have Scratch projected on a screen and withing a minute or two we'll show them how to do a couple things: click on the word 'file' in the menu, then go down to 'open' then show them the 'examples' button over on the leftr side of the window that pops up. Normally once we get this far they're off exploring - and ignoring us ( until they have a question). We'll show how to open the folders to the youth who're interested and then call out to everyone how if you click once on a project name in the folder list, you get a preview. Finally once they have the program open we try to get their attention ( we see them ignoring us as they mess about with Scratch as a very good thing) and show them that that green flag button will often get the program started. Sometimes the room suddenly becomes noisy with sound, and sometimes not - if not we'll prompt them that some of the projects make sound or music ( and sometimes this is where we need to help get sound working ( if available)) This usually ends up being 15-30 minutes. Whats been very suprising ( and a bit unerving even) is that we're finding we do not have to tour the youth through the program buttons and menus - and in fact when we've stuck to a tour of Scratch ( beyond file/open/green flag) they're often not listening and moving ahead on their own. We've been calling this our 'just in time' introduction. What can follow is dropping a scratch card next to computers, or simply getting everyones attention once they've begun, and showing them how to draw a sprite ( and thats the next discussion)"
891	318	How do you introduce Scratch to beginners?	8/22/09 13:30	"I've been teaching Scratch for about 2 or 3 years, whenever I first found out about it. I download the Scratch video and the kids love watching that, about how they can do these projects too just by ""messing around."" Then I introduce the blocks, noting color and what they each do. After that, I take out one of the cards from the Scratch site, an easy one like maybe the ghost gliding, and then they are hooked. But, I don't let them go free yet... no, I make them do enough until it's 5 min. till end of class. Then they play. Then next time, I finish the cards and give them little assignments. Before you know it, they have taken off in 10 directions. I find if they don't have enough knowledge before they are set free that they just pile the sprites onto one another. But, if they know how to make them move then it goes much better!"
1132	318	How do you introduce Scratch to beginners?	10/29/09 13:30	"I typically work with kids from 6 yrs up to 10 yrs who have no Scratch/programing experience at all in small groups (6-12 at a time). We have been using Pico Blocks but I keep a laptop on the side of our classroom with various Scratch applications I've coded. The first thing I do is ask who has used a computer before and similar questions, the point being to take them from feeling unfamiliar with the whole thing straight to ""Oh, yeah I guess I have more experience than I thought."" Then I explain how a computer only does what you tell it to. I briefly imitate a robot and get them to ""program"" me by giving me audible commands. I set a goal of making me get across the room and pick up an object. I have a lot of fun with i and they do to. For example, they figure out to tell me ""Start walking"" pretty quickly but become highly amused when I walk straight ahead into the wall. This segues into a brief run down of some of the things you can do with the system. Then I give everyone their Lego sets and let them spend some time doing nothing but working with the pieces. Next, we pick our first project and off we go! With this age group and time constraints running from 5 days of 4 hour classes or even one day of 3 hours, I have to do a lot of pre-planning and maintain a flexible lesson plan. I am also teaching at a museum so 1)they are paying to be there 2) we want them to come back 3) they don't have to come back! So I make sure that they know about my basic rules from day one... If we're not having fun, we are doing something wrong. There are no wrong answers in my classroom because you can learn from anything. We share materials and help each other. That's pretty much it. I also do not stand for ""telling on each other."" In my small environment, I am aware of everything that goes on. Most of the time when a student complains about another student, they were sharing in the alleged ""trouble"" up until they decided to get the other one in trouble. My students readily accept this as I explain everything in a way that they can understand and relate to instead of as a ""way it is"" rule. I get their sympathy with this by asking them ""What happens we we have to stop having fun so I can handle problems?"" ""Do we want to lose the little time we have to play over silly stuff?"" Basically, I use empathy as often as I can. It is not about you, me, or them, it is about us. Of course no plan is perfect so even if I have to address a student one on one, I make sure that they feel as though we are 2 people talking instead of me coming across like the light-flickering school teacher demanding/begging for their attention. I am very fortunate to be working in such a wonderful setting. I am allowed to step outside the normal teaching boundaries imposed in the Public School System and I get excellent results. My students often do not want to take their break time. At the end of the day, I have to make them go home. They beg to know about more classes, where to purchase the supplies we use, and they show up for the next set of classes. It probably helps that I am a born performer so I have an intuitive knack for reading people and situations. I also pride myself on thinking outside the box. Our town is rather small and sometimes can feel bleak. We are extremely lucky just to have the facilities we use. So I repeatedly resort to my own proven methodology... immediately knock them sideways with something they aren't expecting, now you've got their attention and better yet their interest, now con them into thinking that this is all just a big fun playtime. Once they go into ""We're having fun mode"" I can cram an unbelievable amount of knowledge in at every opportunity cause know we're not learning, we're playing. I was a gifted student who was failed by the school system. I also come from a long line of educators. I see instructors time and time again who seem to act like they themselves were programmed (somewhat poorly) by someone using Scratch. And my heart goes out to all the teachers who have been constrained by administrators and do gooders who understand bottom lines far better than a random child standing in front of them. I do it because I love it and there is nothing more infectious than that. I guess i hindsight, maybe school didn't fail me after all. From conflict comes action!"
1133	318	How do you introduce Scratch to beginners?	10/29/09 15:11	"Thanks for sharing what you do. I find it helpful.  I am working on developing a program to teach Scratch to younger children in the age group 6 to 9. Best regards, Ai Boon"
1135	318	How do you introduce Scratch to beginners?	10/30/09 10:02	"Keith Braafladt said ""Whats been very suprising ( and a bit unerving even) is that we're finding we do not have to tour the youth through the program buttons and menus..."" I think there has been a huge shift in the way that kids learn. Older generations were as a rule more prone to be wary of hitting the 'wrong' button. Newer generations already know concepts so instead of not hitting the buttons, they punch away. This is because they are familiar with and expecting/looking for concepts... Save, Delete, Enter, Reset, etc. Personally I suspect that this gives them somewhat of a leg up on various learning curves."
860	319	Scratch 1.4 Available	7/26/09 11:54	thanks is it possible to upgrade from the previous version or it should be installed anew ?
861	319	Scratch 1.4 Available	7/26/09 11:55	"As far as I know, you need to install the next version. (Not really ""upgrading""...)"
864	319	Scratch 1.4 Available	7/26/09 13:09	thank you ! ps: i've posted few questions and comments in http://scratch.mit.edu/forums/viewforum.php?id=7 the scratch site forum for educators should i re-post them in ScratchEd ? is cross-posting allowed between that forum and ScratchEd ?
866	319	Scratch 1.4 Available	7/26/09 13:17	"ScratchEd has just started (it's only been up for a month)-- and I'm gradually announcing it to different people and in different venues, which is why there hasn't been an announcement about ScratchEd in the Scratch educators forum yet. You're definitely welcome to re-post questions/comments! Thanks for joining ScratchEd and posting..."
1391	319	Scratch 1.4 Available	2/4/10 17:24	"Thanks - just started using Scratch with my class - they are mad about it. Can i distribute it to my class, for them for use at home, or does it require a separate intallation?"
1392	319	Scratch 1.4 Available	2/4/10 21:53	"You're welcome to distribute Scratch to your students. Each student will need to install it on their home computers (or run it from a USB drive). Does that answer your question? Thanks, K"
778	338	What is computational thinking?	7/16/09 11:16	1. Thinking logically 2. A step by step process used to solve a problem
779	338	What is computational thinking?	7/16/09 11:19	"My first reaction to the question about computational thinking.....is the ease of moving around in a computer enviroment. It includes knowing some of the language and understanding the differences and the similarities between different enviroments, and being able to aply the knowledge you have in different enviroments."
780	338	What is computational thinking?	7/16/09 11:21	"I started out thinking that computational thinking was the idea that computing is an expression of logic, like order of operations in mathematical thinking. I also assumed that it included problem solving and processing. But I have now added that idea that computational thinking includes seeing the world and expressing myself in new ways using the computer. It also includes creative collaboration ... or is that thinking creatorate or collabreate?"
781	338	What is computational thinking?	7/16/09 11:21	Using computers to solve problems or present the solution in a different way or media
782	338	What is computational thinking?	7/16/09 11:24	"Computational thinking is using computers or technology to better understand something. It is also using computers or technology to express or share your thoughts or your understanding of something. But, having seen what Anne Marie wrote - I am thinking that she is correct in saying that it is thinking logically and using a step by step process. Hmmm - maybe it isn't necessarily tied to computers or technology."
783	338	What is computational thinking?	7/16/09 11:26	I think Computational Thinking is thinking about how to solve a complex problem or task by breaking it down into a sequence of simple tasks.  It also includes thinking about the efficiency and effectivness of different methods to solve the same problem.
784	338	What is computational thinking?	7/16/09 11:29	"My first thought was BASIC - IF THEN.  My second thought was higher order thinking, working all the way up from the raw zeros and ones to the how, why and what ifs using a computer and its tools along the way."
785	338	What is computational thinking?	7/16/09 11:28	"My first reaction to the word computational is to think about numbers and alogrithms and rote learning. I have to shift my connotation of the word ""computational."" Having taught 6th grade math for many years, the coputational component was the least creative part of teaching math - and I didn't really enjoy it. I understand that in this context, computational thinking is a more open ended creative way of working through a problem. It is a way of puting something in a process and getting something else out and thinking through the steps of getting the idea from one place to another. From the talk Mitch gave today, I understand that it is a new type of literacy that includes ""Learning through Designing,"" ""Building on Personal Interests"" and ""Collaborating Creatively."" -Liz"
786	338	What is computational thinking?	7/16/09 11:28	"I am struck by the idea that computational thinking is a new form of literacy.  For me, that is a reminder that consciousness about this kind of thinking is for all."
787	338	What is computational thinking?	7/16/09 11:29	"Computational thinking involves problem-solving.  One uses algorithms that he/she already knows to make sense of data that at first might appear random and overwhelming.  As we learned this morning, this is a process that includes creating, sharing and reflecting."
788	338	What is computational thinking?	7/16/09 13:34	"What is computational thinking? My first reaction was that it involved solving problems, math problems, a way of viewing how numbers effected and affected our lives.  My view now is that computational thinking is evolving into a broader environment."
789	338	What is computational thinking?	7/16/09 11:29	"Computational thinking is reflecting then performing activities in a logical order.  This morning we saw a demonstration to encourage our students to create book reports, animate objects, create geography learning tools and even conduct science projects and research using Scratch."
790	338	What is computational thinking?	7/16/09 13:44	"When Mitch asked us to state our initial thoughts about computational thinking, mine were: Thinking logically, planning, mapping out a strategy, cause/effect, animation, data collection and analysis and communicating. After this morning's introduction, tour, and reflections, I find my own thinking incorporating more and changing. One of my school's motto is that we need to stay ""green and growing."""
791	338	What is computational thinking?	7/16/09 14:16	sites/default/files/computational thinking article.pdf I just found this article on Computational Thinking that is very interesting. It helped clarify the idea for me. -Liz
838	338	What is computational thinking?	7/18/09 8:26	"I also first thought of mathmatics, and then computers in a more general sense. I like the idea of learning about some of the computer science concepts, for those of us who do not dwell in the computer/math world as much. I like the problem solving approach and teh emphasis on play and fun. I have always thought that the ways of the old style kindergarten class should be applied to all levels.  Learn about computational thinking first with hands on activities!"
853	338	What is computational thinking?	7/22/09 18:44	"So is ""creative computing"" only about Scratch? Should we take from this workshop a new view of how schools work and how students learn and how interests drive education?"
854	338	What is computational thinking?	7/23/09 11:35	Creative computing is definitely not only about Scratch. I hope that people were able to imagine new possibilities for learning -- with technology and beyond.
1212	338	What is computational thinking?	12/3/09 21:58	"""What does computational thinking mean to you?"" A Unique question ?! I will try to answer based on my 25 years with various programming languages and make the following points : 1) Trying to anticipate what the software user  may do and designing the proper response and then learning from trial and error what should be done to make your software - Almost Perfect - is a very  useful process that teaches the young ones many planning lessons. 2) The value of sticking to good variable names and nice structures in the long run, rather than the instant gratification of quick-and-dirty programming can be demonstrated with ease. 3) The balance between what I call nice/elegant/structured coding and fast accurate answers is usually a very quick lesson in being practical. and much more.."
